[16-Nov-2013 16:59:18 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:59:19 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:59:55 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:59:56 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:02:59 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:03:00 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:03:02 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:03:31 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:03:34 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:03:36 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:03:43 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:03:45 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:04:28 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:04:29 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:04:31 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:04:31 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:04:33 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:04:46 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:04:46 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:04:55 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:04:55 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:05:00 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:05:44 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:05:44 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:06:07 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:06:07 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:06:17 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:06:17 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:06:21 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:09:58 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:09:59 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:11:46 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 17:11:47 Asia/Seoul] Invalid or no certificate authority found, using bundled information
