[16-Nov-2013 16:49:27 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:49:28 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:49:28 Asia/Seoul] OAuthException: An active access token must be used to query information about the current user.
[16-Nov-2013 16:49:28 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:49:34 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:49:35 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:49:38 Asia/Seoul] CSRF state token does not match one provided.
[16-Nov-2013 16:49:38 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:49:42 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:49:42 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:49:43 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:49:43 Asia/Seoul] CSRF state token does not match one provided.
[16-Nov-2013 16:49:43 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:50:22 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:50:23 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:50:23 Asia/Seoul] OAuthException: An active access token must be used to query information about the current user.
[16-Nov-2013 16:50:23 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:50:27 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:50:27 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:50:28 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:50:28 Asia/Seoul] CSRF state token does not match one provided.
[16-Nov-2013 16:50:28 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:50:48 Asia/Seoul] CSRF state token does not match one provided.
[16-Nov-2013 16:50:49 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:50:49 Asia/Seoul] CSRF state token does not match one provided.
[16-Nov-2013 16:50:49 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:52:23 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:52:23 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:52:54 Asia/Seoul] Invalid or no certificate authority found, using bundled information
[16-Nov-2013 16:52:55 Asia/Seoul] Invalid or no certificate authority found, using bundled information
